daily_active_user_part1
user_screen_name,user_id_str,active_days
Gentlemen_Sam,441572163,16
SkullyRox,20391647,5
whisperandmoan,113516042,5
sky_regenrated,483059773,11
MtnrMS,3309102108,5
remakoul,814372928695521280,5
roxyunderwood93,295334669,5
TCMuffin,35591749,5
trallyus,11702402,6
ssagardutta,2991490598,7
ChaurasiaRohin,706032993794527232,5
tarunwadhwa198,130872938,5
basusagar,42205044,13
Whitjoseph,148495262,6
Savvyy_Investor,758744557315993600,6
LadySlaughter,15195593,5
i_opner,4189195819,5
Shadowslightz,1282432266,5
brian_riback,424400406,6
DscoJesus,862074670174138368,5
uncensoredpen,1959501074,5
ontherocks66,83187396,5
KVas92103,2227128248,5
fadari,25689668,5
Dharmendrakasa,3711696145,5
urvashi_mitra,527489415,6
r_narayan11,791166101006585857,5
ReclusiveCoder,144280479,7
hartsway,2811807426,5
shivanient1998,1608365852,5
lahsivarhor,86762070,7
juancvasdisenho,144723151,5
ravinderkum1191,65833857,5
coolfrog1988,35214799,6
ranabiswanath12,543571642,6
vikijain87,141962835,5
orion_613,789691149459914752,6
RealMikeStack,1529167434,7
Asqwolf,62498968,12
JennyCavanaugh,812028824,5
navdeepsoni,8017352,5
roadshowrigolet,630450707,5
iGoneViral,4889990293,5
brajeshjee,319521142,5
Soko_nafuu,740456791176253441,5
ElliottBros1,2317805748,5
project_gonzo,134300648,6
iAshishPrasad,2380038870,6
Tushar_Kapila,17463956,6
bigcomedown,100339412,5
Tushi_Joy,88709529,7
ssbib85,3025478429,13
pxlshftr,112759451,5
deecaltee,714942588,6
posterest,1066180207,6
JerseyStupka,66870413,5
ke4ole1,213060183,8
SparklyPen,267381861,5
velsingakutty,246635943,6
Subharanjan_,128634987,5
thicker,15920461,5
peerlesspig,44823152,5
dkutka25,101568093,5
DementedWolfLuv,146260629,8
azkite,396890520,5
runsammrun,1164260107,7
CobaltHailstorm,209702451,5
SAHAY7,78244428,7
AjeetKarn,278977971,5
Gutta_DaDon,401286522,5
cherehall,236470176,6
mybharatraj,902137872,5
Hpykumar,776791812123930625,5
Romilvora111199,3032469392,6
richardin1956,622890534,5
TheMimiZee,1387267123,8
KumarPraval,2479531801,5
5thLineTalent,24237942,5
JohnBloorDesign,20082414,5
PattyPeppermynt,3403856709,6
VofEscaflowne,41480905,8
varun_ar,355088719,5
JanHCAFC,966683100,5
chetansmith11,2259952085,5
Gemx86x,122783695,5
PhilippaJG,110745877,5
jeujeubeee,2214869341,5
gokulkrishnen,969815922,6
meganbongo,1075158410,6
GG_s0nic,267676234,6
saj44a,720329744726687744,14
bijender393,903272676,5
crazybadkid,59146973,5
andzayn,444365106,13
NathDeb2011,3003188510,8
mcurie,14472490,12
jeetendra25,57953914,8
mayankvj2406,876124662,5
Floydilicious,211798382,6
SCTrojanSK,156359057,5
Alokzgh,733116597825495040,5
iAmSmi__,595548720,6
AmazonHelp,85741735,279
MrArchitecht,769486341851615232,6
GinBhandal,174820930,6
GirlGamer7,1426285704,5
gramopadhye1971,4853775889,5
PrashantBiyani,129854185,5
amit1407,48402117,5
fightwonegames,837835207,6
Lunaborne,953947501,6
Come_soondad,813383712775684097,7
SarthakMaiti,2698629504,6
nrosier,14293184,5
aisforarlynne,27842803,5
i3isystem,3171120559,5
Fz_Knuckle99,2934257079,7
degr4ssi,34984337,5
aniawit,16939507,5
hardeep1singh,14654682,6
apurba_s,934064701,5
DieselDragonIFD,829394625236443136,7
revanusha,456358376,5
ewanandfriends,46228767,5
AmyUnitedStates,2953709027,5
AryanIndians,23558756,5
sudnigga,28928956,8
BrightBetty,43970870,5
ooSteph,14415645,6
mgpjz,4925825782,5
NJShadow,10813822,6
Alfonsiawarrior,2333955555,7
Lyanna_T,321826849,8
SunnyKinger,49263856,6
leighfuge,228821192,8
amarlungare,50616028,8
DadaSiddharth,359869433,6
callsignemily,249787502,6
TyphHunter,2305584128,11
gmosesl,23352195,5
ghostbuster9999,2153604350,6
IvanHotrod,856953860,5
sanjanind,66622722,8
shubhranshuu,22346149,7
IndusOrganics,31232521,6
CervantesAndres,144921369,5
rishabgundecha,1227418134,5
UDTMac,323019713,5
Aosc2,1543185697,5
Manjunath_Bhat_,325670927,6
iBasu07,1438180344,7
PrateekP789,553607147,5
Trainer_CRM,163877633,6
torreddaytona,18234839,5
Sparrargh,58237941,7
yadavsaid,44329735,5
AziizaT,137106484,5
CoCoButterExp,47828355,9
RCausey,37534186,5
ckhayek,15007269,9
sidartsidart,1893356316,5
0xJAKE,4146949275,5
havanaclub_soda,20546310,5
medtek,18435372,7
dhakaneram,130810999,7
kamleshrao,16851793,7
shahidiqbal0007,4908895821,5
ellenseabell,38289347,5
YiannisNennes,36412139,5
Sportsionista,555028043,6
Avisingh18,103913560,6
rohitvatwani,95693303,5
gwaland,12990382,10
jdg2310,86746815,5
Pixie_Jaime,89440799,5
Robgoblin,19336157,6
Spartan_029,43557159,5
basmybasher,1607069072,6
Stjanm,357062019,6
tulsyan_mayank,878312518103384065,5
vivivivi1307,4537041014,8
manchicken,16543736,5
LaborneRacing,148468753,5
donna3939,46929510,6
nidhimaheshwari,48357214,7
praveenhak,159797979,6
C6RDE,45820389,5
WanderThatMews,2237735712,5
cherrydoll1,21336479,5
praveen_pandey_,110354554,5
Tower_Tramp,2467103148,5
cpriyanko,112763444,6
dilbil143,1272524941,7
troykelly,14439544,7
MacqueenNathan,1138113037,6
newproblem,57927491,8
nickmorrott,283892690,5
boredgirl260,5723252,7
SLAP_News,18863148,6
RichPierce0079,133804026,16
MrsPTeach,383170468,5
RedSixx,69475762,8
anaggh,17701394,5
BananeJen,26564556,5
SameeraShairali,2530034064,5
Ziggziee,2414585990,6
sourabhnandwana,100214244,6
craigr98_2016,4892425227,6
TheZamindar,66302156,7
playmaker09,20422796,5
imsvsims,5979042,6
Rohanhasastory,111182345,7
abhishekr2323,2953652983,5
JustCIDER,223342603,5
SmileyTutorials,913138646,5
DragonMcElroy,2189027816,7
PRATHEESH_PPN,241391028,9
iamcorrupt,45457886,5
pagetbrewster,827375319208300544,5
johnomalley,12275422,5
bkel,21901245,5
ConorMX,511351188,5
Torresxs,16276284,5
Taterpugz,385528206,7
MyApocalypse_,104268993,5
FootBaller121,3233722514,6
RapidBI,17535421,5
princessgleek,22982668,10
EsmeraldaMollin,733028394,7
Suruchi0603,1542918302,6
jaidevd,205727959,5
