user_id_str,info,whether_active,user_screen_name
1000196282,F,no,Not found
100049952,M,no,Not found
100054985,F,no,Not found
1001811912,F,no,Not found
1002018746,F,no,Not found
100209462,M,no,Not found
1002186955,F,no,Not found
100339412,M,yes,bigcomedown
100414514,F,no,Not found
100468594,F,yes,opjha
100492517,M,no,Not found
100523546,F,no,Not found
100564102,F,no,Not found
100736255,F,no,Not found
1008060450,M,yes,Steph_CO7272
100812916,M,no,Not found
100856463,M,no,Not found
101076998,F,no,Not found
101381642,M,no,Not found
101431978,F,no,Not found
101496743,M,no,Not found
1015987736,M,no,Not found
101599701,F,no,Not found
1017546403,M,no,Not found
101782427,M,no,Not found
101817037,M,no,Not found
1018357106,F,no,Not found
101879535,M,no,Not found
101976764,M,no,Not found
102051985,M,no,Not found
102098295,F,no,Not found
1020993602,M,no,Not found
102119049,M,no,Not found
1021201022,F,no,Not found
1023375762,F,no,Not found
102357306,F,no,Not found
102404229,M,no,Not found
102453470,F,no,Not found
1025480738,F,no,Not found
102611957,F,no,Not found
102688383,M,no,Not found
102693073,M,no,Not found
10277422,F,no,Not found
1028934518,M,no,Not found
103091168,M,no,Not found
103140221,M,no,Not found
103173046,F,no,Not found
1034054106,F,no,Not found
103464555,M,no,Not found
1034809063,M,no,Not found
103596223,M,no,Not found
103596643,F,no,Not found
103607051,M,no,Not found
103623830,M,no,Not found
1036308488,M,yes,nomnom_mania
103686271,F,no,Not found
1036909446,M,no,Not found
103806631,F,no,Not found
103958741,F,no,Not found
1040604872,M,no,Not found
104474276,F,no,Not found
104494262,M,no,Not found
104549508,M,no,Not found
104940730,M,no,Not found
105380969,M,no,Not found
1055297540,F,no,Not found
1056165000,F,no,Not found
1056873374,F,no,Not found
1057665338,M,no,Not found
105833961,F,no,Not found
106226202,F,no,Not found
1062363906,M,no,Not found
106546836,F,no,Not found
1066322480,M,no,Not found
1066864868,M,no,Not found
10676462,M,no,Not found
106795900,M,no,Not found
106843636,M,no,Not found
107000096,F,no,Not found
107008766,F,no,Not found
1071362384,M,no,Not found
107422115,F,no,Not found
107424408,M,no,Not found
1074350893,M,no,Not found
1076442812,M,no,Not found
10766,F,no,Not found
1079912580,M,yes,ON8CB
1081254876,M,no,Not found
108139168,M,no,Not found
1084312460,F,no,Not found
108500760,F,no,Not found
108515417,F,no,Not found
108623154,F,no,Not found
1086521000,M,no,Not found
108743064,M,no,Not found
108883864,F,no,Not found
1089744487,F,no,Not found
1089848792,F,no,Not found
109078643,F,no,Not found
1091048630,F,no,Not found
109469032,M,no,Not found
1098487784,F,no,Not found
109925929,F,no,Not found
1099337910,M,no,Not found
109942819,M,no,Not found
109957012,M,no,Not found
109957953,F,no,Not found
1100876221,F,no,Not found
1101591,M,no,Not found
110305499,F,no,Not found
11037952,F,no,Not found
110614239,M,no,Not found
1107690745,M,no,Not found
1107810144,M,no,Not found
1110962058,M,no,Not found
111109304,M,no,Not found
1111512332,F,no,Not found
111154233,F,no,Not found
1111978806,F,no,Not found
1112166661,F,no,Not found
111311425,M,no,Not found
111327910,M,no,Not found
111567872,F,no,Not found
111618370,F,no,Not found
1117035426,F,no,Not found
1118151961,M,no,Not found
1118203718,M,no,Not found
1118925529,M,no,Not found
112057112,M,no,Not found
112242731,F,no,Not found
112260814,F,no,Not found
1122913464,M,no,Not found
112354863,M,no,Not found
1124757457,M,no,Not found
1125508832,M,no,Not found
1126818205,M,no,Not found
112758097,M,no,Not found
112985258,F,no,Not found
113181276,F,no,Not found
11346592,F,no,Not found
11363412,F,no,Not found
113948965,M,no,Not found
113988552,M,no,Not found
114062496,M,no,Not found
1141189604,F,no,Not found
114130230,F,no,Not found
1142012113,M,no,Not found
1142708088,F,no,Not found
114314460,F,no,Not found
114342489,F,no,Not found
1143623798,F,no,Not found
114421715,M,no,Not found
1146559795,F,no,Not found
114712087,F,no,Not found
114785935,F,no,Not found
1148946805,M,no,Not found
1149291,M,no,Not found
1149629384,F,no,Not found
1149784848,F,no,Not found
11499522,F,no,Not found
1151687198,M,no,Not found
115183776,M,no,Not found
1152863588,M,no,Not found
1154173362,F,no,Not found
115477169,F,no,Not found
115487106,F,no,Not found
115533837,F,no,Not found
115635864,F,no,Not found
115689804,M,no,Not found
11579862,F,no,Not found
115908468,M,no,Not found
116193719,F,no,Not found
11622902,M,no,Not found
1163326477,F,no,Not found
116394463,F,no,Not found
116431320,F,no,Not found
116743167,F,no,Not found
1168891231,M,no,Not found
1169020747,M,no,Not found
117022992,F,no,Not found
1170556975,M,no,Not found
11706452,F,no,Not found
1171182668,M,no,Not found
117139769,M,no,Not found
1171440462,F,no,Not found
1171510662,F,no,Not found
117163213,F,no,Not found
117560528,M,no,Not found
1176304364,F,no,Not found
117692606,M,no,Not found
11798342,M,no,Not found
1180539758,F,no,Not found
1180696620,M,no,Not found
1182576343,M,no,Not found
1182971527,F,no,Not found
118332705,F,no,Not found
11835212,M,no,Not found
118378294,M,no,Not found
118391492,M,no,Not found
1184676811,M,no,Not found
1186407745,F,no,Not found
1186727431,M,no,Not found
118712723,F,no,Not found
1188749005,M,no,Not found
1188929052,F,no,Not found
118934371,F,no,Not found
118976585,M,no,Not found
1189778617,M,no,Not found
1191357403,F,no,Not found
119164502,F,no,Not found
11921652,M,no,Not found
119307352,M,no,Not found
1193371062,M,no,Not found
1194213805,F,no,Not found
1196145949,M,no,Not found
119640490,F,no,Not found
119882978,M,no,Not found
1198945374,F,no,Not found
1199773272,F,no,Not found
1200603446,M,no,Not found
120068456,F,no,Not found
1201417339,F,no,Not found
1202418104,F,no,Not found
1202660983,M,no,Not found
1202674068,F,no,Not found
1203174451,M,no,Not found
120487125,F,no,Not found
120555720,M,no,Not found
120686214,F,no,Not found
120838314,M,no,Not found
1209614366,M,no,Not found
1210875679,M,no,Not found
121136472,F,no,Not found
121318872,M,yes,jaxiwest
1214335602,M,no,Not found
12144232,M,no,Not found
121513127,F,no,Not found
121735661,M,no,Not found
121843006,F,no,Not found
1219487846,F,no,Not found
121991229,M,no,Not found
122131791,M,no,Not found
122159107,F,no,Not found
1222472503,M,no,Not found
122259179,F,no,Not found
12228702,M,no,Not found
12241062,M,no,Not found
122415060,M,no,Not found
122537223,M,no,Not found
122672833,F,no,Not found
1228051986,F,no,Not found
122824390,M,no,Not found
1228287571,F,no,Not found
122909921,F,no,Not found
1230093582,F,no,Not found
123025723,F,no,Not found
123058781,M,no,Not found
123063443,F,no,Not found
1231247078,F,no,Not found
123138418,M,no,Not found
1231623577,M,no,Not found
123250518,F,no,Not found
123395375,F,no,Not found
12354332,M,no,Not found
1236535040,M,no,Not found
123786840,M,no,Not found
123932503,M,no,Not found
1239473694,M,no,Not found
123986777,M,no,Not found
1241883061,M,no,Not found
124378584,F,no,Not found
124404304,F,no,Not found
1244072876,M,no,Not found
1245377257,M,no,Not found
124711644,F,no,Not found
1247387130,F,no,Not found
1247390532,M,no,Not found
1250127331,M,no,Not found
125043881,F,no,Not found
1252182044,M,no,Not found
125271226,F,no,Not found
1252833174,F,no,Not found
125549164,M,yes,atreyee21
1255519657,M,no,Not found
125650028,F,no,Not found
125675649,F,yes,txomon
125855207,M,no,Not found
1259743393,M,no,Not found
126035165,M,no,Not found
126198197,M,no,Not found
126275079,F,yes,x_Th3_Truth_x
126296982,F,no,Not found
1264262994,F,no,Not found
126775981,M,no,Not found
1267884572,F,no,Not found
126798896,M,no,Not found
126899504,M,no,Not found
127186083,F,no,Not found
127216617,M,no,Not found
1272524941,M,yes,dilbil143
1272912847,F,no,Not found
1275164778,F,no,Not found
127537708,M,no,Not found
127661496,M,no,Not found
1279137632,M,no,Not found
127919462,M,no,Not found
1282440788,M,no,Not found
128257538,F,no,Not found
